total-folder/poc-in-gh/poc-in-gh-1790/cve-2019-5420.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-6113/cve-2022-23277.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-4261/dos-exploit-wse.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-1974/cve-2019–9193.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-135/CVE-2018-11564.py, 1, stdout: None, stderr: None
total-folder/edb/edb-2557/CVE-2022-39290.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-4254/CVE-2021-35211.py, 2, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-3807/rce.py, 2, stdout: None, stderr: None
total-folder/edb/edb-2367/CVE-2021-24946.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-6999/test.py, 1, stdout: None, stderr: None
total-folder/edb/edb-1623/CVE-2020-9374.py, 1, stdout: None, stderr: None
total-folder/poc-in-gh/poc-in-gh-4036/exploit.py, 1, stdout: None, stderr: None
total-folder/edb/edb-830/CVE-2018-1999002.py, 255, stdout: None, stderr: None
